"Zeitstempel","Gesamtpunktzahl","Dein Nickname/Pseudonym","Dein Nickname/Pseudonym [Punktzahl]","Dein Nickname/Pseudonym [Feedback]","Titanic","Titanic [Punktzahl]","Titanic [Feedback]","Matrix","Matrix [Punktzahl]","Matrix [Feedback]","Herr der Ringe 1","Herr der Ringe 1 [Punktzahl]","Herr der Ringe 1 [Feedback]","Herr der Ringe 2","Herr der Ringe 2 [Punktzahl]","Herr der Ringe 2 [Feedback]","Herr der Ringe 3","Herr der Ringe 3 [Punktzahl]","Herr der Ringe 3 [Feedback]","Avatar","Avatar [Punktzahl]","Avatar [Feedback]","Dinner for One","Dinner for One [Punktzahl]","Dinner for One [Feedback]"
"2021/09/30 7:37:51 PM OEZ","0.00 / 0","Tobi Wan Kenobi","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","2","-- / 0",""
"2021/09/30 7:37:51 PM OEZ","0.00 / 0","Gernsdorfer","-- / 0","","1","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0",""
"2021/09/30 7:38:00 PM OEZ","0.00 / 0","Geryoda","-- / 0","","1","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0",""
"2021/09/30 7:38:10 PM OEZ","0.00 / 0","Karsten","-- / 0","","-","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0",""
"2021/09/30 7:38:11 PM OEZ","0.00 / 0","Jalu","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0",""
"2021/09/30 7:38:14 PM OEZ","0.00 / 0","Nico","-- / 0","","2","-- / 0","","5","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0","","5","-- / 0","","1","-- / 0",""
"2021/09/30 7:38:21 PM OEZ","0.00 / 0","Onlineer","-- / 0","","2","-- / 0","","3","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","-","-- / 0","","4","-- / 0",""
"2021/09/30 7:38:24 PM OEZ","0.00 / 0","mark ","-- / 0","","2","-- / 0","","-","-- / 0","","-","-- / 0","","-","-- / 0","","-","-- / 0","","4","-- / 0","","3","-- / 0",""
"2021/09/30 7:38:33 PM OEZ","0.00 / 0","Geryodi","-- / 0","","5","-- / 0","","-","-- / 0","","3","-- / 0","","4","-- / 0","","2","-- / 0","","1","-- / 0","","5","-- / 0",""
"2021/09/30 7:38:49 PM OEZ","0.00 / 0","StefanW","-- / 0","","3","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","2","-- / 0",""
"2021/09/30 7:39:05 PM OEZ","0.00 / 0","Basti","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0",""
"2021/09/30 7:39:47 PM OEZ","0.00 / 0","harry","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0","","1","-- / 0","","5","-- / 0","","-","-- / 0",""
"2021/09/30 7:39:48 PM OEZ","0.00 / 0","Max","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0",""
"2021/09/30 7:40:32 PM OEZ","0.00 / 0","StefanW+1","-- / 0","","5","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","1","-- / 0","","3","-- / 0","","4","-- / 0",""
"2021/09/30 7:41:30 PM OEZ","0.00 / 0","klaus stahlihngrad","-- / 0","","3","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","1","-- / 0","","4","-- / 0","","5","-- / 0",""
